13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Fira Code Regular Nerd Font Complete.ttf', name='FiraCode Nerd Font', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Fira Code Regular Nerd Font Complete Mono.ttf', name='FiraCode Nerd Font Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/D050000L.otf', name='D050000L', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusSansNarrow-BoldOblique.otf', name='Nimbus Sans Narrow', style='oblique', variant='normal', weight=700, stretch='condensed', size='scalable')) = 11.535 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-code-pro/SourceCodePro-MediumIt.otf', name='Source Code Pro', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusMonoPS-Regular.otf', name='Nimbus Mono PS', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Fira Code Retina Nerd Font Complete Mono.ttf', name='FiraCode Nerd Font Mono', style='normal', variant='normal', weight=450, stretch='normal', size='scalable')) = 10.0975 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/C059-Bold.otf', name='C059', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMonoBoldOblique.otf', name='FreeMono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Fira Code Light Nerd Font Complete Mono.ttf', name='FiraCode Nerd Font Mono', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-code-pro/SourceCodePro-ExtraLightIt.otf', name='Source Code Pro', style='italic', variant='normal', weight=200, stretch='normal', size='scalable')) = 11.24 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusSans-Bold.otf', name='Nimbus Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusMonoPS-BoldItalic.otf', name='Nimbus Mono PS', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSerifItalic.otf', name='FreeSerif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/URWGothic-BookOblique.otf', name='URW Gothic', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/P052-Italic.otf', name='P052', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSans.otf', name='FreeSans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Fira Code SemiBold Nerd Font Complete Mono.ttf', name='FiraCode Nerd Font Mono', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-code-pro/SourceCodePro-Semibold.otf', name='Source Code Pro', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24 :: DEBUG
